average_uptime,average_downtime,machine,e,ct,product
0 days 00:28:35.428571428,0 days 00:00:00.000000000,#130,1,0 days 00:00:17.000000000,500
0 days 01:39:13.500000000,0 days 00:00:31.000000000,#110,0.994819952,0 days 00:00:15.000000000,497
0 days 00:28:38.714285714,0 days 00:00:00.000000000,#150,1,0 days 00:00:30.000000000,500
0 days 01:08:13.666666666,0 days 00:00:01.500000000,#170,0.999633715,0 days 00:00:09.000000000,415
0 days 00:28:13.571428571,0 days 00:00:00.000000000,#100,1,0 days 00:00:14.000000000,495
0 days 00:28:36.857142857,0 days 00:00:00.000000000,#80,1,0 days 00:00:11.000000000,497
0 days 00:28:35.714285714,0 days 00:00:00.000000000,#120,1,0 days 00:00:31.000000000,252
0 days 00:28:11.428571428,0 days 00:00:00.000000000,#90,1,0 days 00:00:17.000000000,495
0 days 00:28:40.285714285,0 days 00:00:00.000000000,#140,1,0 days 00:00:34.000000000,255
0 days 00:29:24.428571428,0 days 00:00:00.000000000,#160,1,0 days 00:00:15.000000000,499
